"market_level","tp_0.1","tp_0.15","tp_0.2","tp_0.25","tp_0.3","tp_0.33","tp_0.35","tp_0.4","tp_0.45","tp_0.5","tp_0.55","tp_0.6","tp_0.65","tp_0.7","tp_0.75","tp_0.8","tp_0.85","tp_0.9","tp_0.95"
"1","0.9951","0.9951","0.9951","0.9951","0.9951","0.9926","0.9925","0.9899","0.9897","0.9896","0.9895","0.9894","0.9894","0.9894","0.984","0.984","0.984","0.9839","0.9839"
"2","0.9958","0.9958","0.9958","0.9958","0.9958","0.9871","0.9868","0.9865","0.9864","0.9771","0.9676","0.967","0.9668","0.9667","0.9665","0.9662","0.9662","0.966","0.9659"
"3",,,,,,,,,,,,,,,,,,,
"4",,,,,,,,,,,,,,,,,,,
"5",,,,,,,,,,,,,,,,,,,
"6",,,,,,,,,,,,,,,,,,,
"7",,,,,,,,,,,,,,,,,,,
"8",,,,,,,,,,,,,,,,,,,
"9",,,,,,,,,,,,,,,,,,,
