"market_level","tp_0.1","tp_0.15","tp_0.2","tp_0.25","tp_0.3","tp_0.33","tp_0.35","tp_0.4","tp_0.45","tp_0.5","tp_0.55","tp_0.6","tp_0.65","tp_0.7","tp_0.75","tp_0.8","tp_0.85","tp_0.9","tp_0.95"
"1",,,,,,,,,,,,,,,,,,,
"2",,,,,,,,,,,,,,,,,,,
"3",,,,,,,,,,,,,,,,,,,
"4",,,,,,,,,,,,,,,,,,,
"5",,,,,,,,,,,,,,,,,,,
"6",,,,,,,,,,,,,,,,,,,
"7",,,,,,,,,,,,,,,,,,,
"8","0.326714","0.360884","0.395054","0.429224","0.463393","0.483272","0.493108","0.524801","0.540526","0.552512","0.560194","0.565231","0.567549","0.565817","0.565606","0.566767","0.569268","0.570645","0.570858"
"9",,,,,,,,,,,,,,,,,,,
