"market_level","tp_0.1","tp_0.15","tp_0.2","tp_0.25","tp_0.3","tp_0.33","tp_0.35","tp_0.4","tp_0.45","tp_0.5","tp_0.55","tp_0.6","tp_0.65","tp_0.7","tp_0.75","tp_0.8","tp_0.85","tp_0.9","tp_0.95"
"1","0.24794","0.279935","0.31193","0.343925","0.37592","0.385376","0.393331","0.404364","0.406733","0.411902","0.412175","0.411663","0.414144","0.414077","0.41216","0.410711","0.411275","0.411573","0.411604"
"2","0.275884","0.306556","0.337229","0.367901","0.398573","0.421144","0.426687","0.437694","0.44163","0.443389","0.437498","0.441058","0.445226","0.447469","0.447606","0.445027","0.450476","0.448453","0.448202"
"3",,,,,,,,,,,,,,,,,,,
"4",,,,,,,,,,,,,,,,,,,
"5",,,,,,,,,,,,,,,,,,,
"6",,,,,,,,,,,,,,,,,,,
"7",,,,,,,,,,,,,,,,,,,
"8",,,,,,,,,,,,,,,,,,,
"9",,,,,,,,,,,,,,,,,,,
