"market_level","tp_0.1","tp_0.15","tp_0.2","tp_0.25","tp_0.3","tp_0.33","tp_0.35","tp_0.4","tp_0.45","tp_0.5","tp_0.55","tp_0.6","tp_0.65","tp_0.7","tp_0.75","tp_0.8","tp_0.85","tp_0.9","tp_0.95"
"1",,,,,,,,,,,,,,,,,,,
"2",,,,,,,,,,,,,,,,,,,
"3","0.9972","0.9972","0.9972","0.9972","0.9972","0.9803","0.9741","0.955","0.9446","0.9432","0.9391","0.9351","0.9344","0.9344","0.9344","0.934","0.9302","0.93","0.9298"
"4",,,,,,,,,,,,,,,,,,,
"5","0.9896","0.9896","0.9896","0.9896","0.9896","0.9735","0.9624","0.9615","0.9503","0.9497","0.9432","0.9425","0.9412","0.9405","0.9387","0.9387","0.9387","0.9383","0.9383"
"6",,,,,,,,,,,,,,,,,,,
"7",,,,,,,,,,,,,,,,,,,
"8",,,,,,,,,,,,,,,,,,,
"9",,,,,,,,,,,,,,,,,,,
