"market_level","hold_days","tp_pct","n_valid","avg_ret","median_ret","pct_pos"
"1","5","0.65","377","0.414144","0.33627","0.9894"
"2","5","0.5","218","0.443389","0.363014","0.9771"
"3","8","0.35","348","0.467981","0.35","0.9741"
"4","6","0.4","294","0.418943","0.4","0.9728"
"5","8","0.33","189","26.755849","0.33","0.9735"
"6","6","0.9","262","0.537781","0.4165","0.9885"
"7","6","0.95","500","0.973445","0.400742","0.974"
"8","7","0.95","469","0.570858","0.411746","0.9701"
"9","6","0.75","565","0.503694","0.405599","0.9717"
