"market_level","tp_0.1","tp_0.15","tp_0.2","tp_0.25","tp_0.3","tp_0.33","tp_0.35","tp_0.4","tp_0.45","tp_0.5","tp_0.55","tp_0.6","tp_0.65","tp_0.7","tp_0.75","tp_0.8","tp_0.85","tp_0.9","tp_0.95"
"1",,,,,,,,,,,,,,,,,,,
"2",,,,,,,,,,,,,,,,,,,
"3",,,,,,,,,,,,,,,,,,,
"4",,,,,,,,,,,,,,,,,,,
"5",,,,,,,,,,,,,,,,,,,
"6",,,,,,,,,,,,,,,,,,,
"7",,,,,,,,,,,,,,,,,,,
"8","0.9981","0.9981","0.9981","0.9981","0.9981","0.9883","0.9824","0.976","0.9759","0.9756","0.9754","0.9731","0.9729","0.9727","0.9705","0.9703","0.9703","0.9702","0.9701"
"9",,,,,,,,,,,,,,,,,,,
