trade_id,symbol,date,exit_date,exit_bar_index,exit_ret
80,RVN-USD,2021-02-06,2021-02-15,9,1.3933452489643223
81,SXP-USD,2021-02-06,2021-02-14,8,0.3309374844521338
86,BEAM-USD,2021-02-07,2021-02-14,7,0.5347981816306762
85,CELO-USD,2021-02-07,2021-02-15,8,0.1254374462484189
87,ONT-USD,2021-02-07,2021-02-16,9,0.6212121094852843
83,QTUM-USD,2021-02-07,2021-02-15,8,0.5055483627953647
82,RSR-USD,2021-02-07,2021-02-15,8,0.4932393153202539
84,SOL-USD,2021-02-07,2021-02-16,9,0.2384020397542281
88,TRB-USD,2021-02-07,2021-02-15,8,0.2253245007413504
94,BAT-USD,2021-02-08,2021-02-17,9,0.3749478054650661
96,BAND-USD,2021-02-08,2021-02-17,9,0.3904780820595459
93,DASH-USD,2021-02-08,2021-02-14,6,0.8353741667465673
95,ENJ-USD,2021-02-08,2021-02-17,9,0.3959850979294403
91,IOST-USD,2021-02-08,2021-02-17,9,1.0130225306453111
90,ZEN-USD,2021-02-08,2021-02-17,9,1.1634962056866185
92,ZEC-USD,2021-02-08,2021-02-14,6,0.622822138900704
89,IOTX-USD,2021-02-08,2021-02-15,7,0.5507810399336612
97,CHZ-USD,2021-02-09,2021-02-18,9,0.4911718767859154
98,DGB-USD,2021-02-09,2021-02-14,5,0.1639433125657909
99,XTZ-USD,2021-02-09,2021-02-15,6,0.2086066870422551
106,KAVA-USD,2021-02-10,2021-02-19,9,0.2475578680392018
105,ANKR-USD,2021-02-10,2021-02-19,9,0.5834641810689958
103,SC-USD,2021-02-10,2021-02-16,6,0.1167266035647114
104,EOS-USD,2021-02-10,2021-02-15,5,0.1376203460007055
101,VTHO-USD,2021-02-10,2021-02-19,9,1.0718832119435762
100,ZIL-USD,2021-02-10,2021-02-19,9,0.4201343052122936
102,MANA-USD,2021-02-10,2021-02-19,9,0.3171580066155963
107,RVN-USD,2021-02-11,2021-02-20,9,3.7201599609538345
108,DASH-USD,2021-02-12,2021-02-14,2,0.3648108303379413
109,HIVE-USD,2021-02-12,2021-02-21,9,0.3708844881630859
110,DGB-USD,2021-02-14,2021-02-23,9,-0.0603174546060698
111,ICX-USD,2021-02-14,2021-02-22,8,0.2363676145040052
112,KSM-USD,2021-02-14,2021-02-23,9,0.502005669841143
113,ZEN-USD,2021-02-14,2021-02-23,9,-0.0028723489602157
118,JST-USD,2021-02-15,2021-02-23,8,-0.0399506662038644
116,SXP-USD,2021-02-15,2021-02-23,8,0.0226998570754115
117,IOST-USD,2021-02-15,2021-02-24,9,0.7185141533401964
114,TWT-USD,2021-02-15,2021-02-22,7,0.2374727374335981
115,RVN-USD,2021-02-15,2021-02-23,8,1.3882588396240472
119,CHZ-USD,2021-02-16,2021-02-23,7,0.2143990232440689
120,COTI-USD,2021-02-16,2021-02-25,9,0.5857847498061519
121,DASH-USD,2021-02-16,2021-02-23,7,-0.0777547966259992
122,MATIC-USD,2021-02-16,2021-02-25,9,0.6178053408962079
123,SOL-USD,2021-02-16,2021-02-25,9,0.665007957757227
124,TFUEL-USD,2021-02-16,2021-02-25,9,0.3673663226610411
125,BTT-USD,2021-02-18,2021-02-23,5,0.0848532871586162
126,IOST-USD,2021-02-19,2021-02-25,6,-0.0162464306916647
127,RVN-USD,2021-02-19,2021-02-23,4,0.2298686033069756
128,SOL-USD,2021-02-20,2021-02-25,5,0.3812335219167024
129,CKB-USD,2021-02-22,2021-02-28,6,0.0150581547200185
130,MATIC-USD,2021-02-23,2021-03-04,9,0.4626838513201181
131,HIVE-USD,2021-02-24,2021-03-05,9,0.3014816250364869
132,TFUEL-USD,2021-02-26,2021-03-07,9,0.7794176391908323
133,ENJ-USD,2021-02-27,2021-03-08,9,2.064060784582143
139,BAT-USD,2021-02-28,2021-03-09,9,0.4356957624789179
138,CHZ-USD,2021-02-28,2021-03-09,9,4.230693640433712
137,SXP-USD,2021-02-28,2021-03-09,9,0.5095399768042423
140,IOTX-USD,2021-02-28,2021-03-09,9,0.6542155696857805
135,MANA-USD,2021-02-28,2021-03-09,9,1.3219289340805975
134,RUNE-USD,2021-02-28,2021-03-09,9,0.4110515577410727
136,KAVA-USD,2021-02-28,2021-03-06,6,0.141811843358266
141,VTHO-USD,2021-02-28,2021-03-09,9,0.5067308204638641
142,THETA-USD,2021-03-01,2021-03-10,9,0.999931343412324
143,COTI-USD,2021-03-02,2021-03-11,9,0.9122878576451084
144,CHZ-USD,2021-03-05,2021-03-13,8,4.310158236991276
145,ENJ-USD,2021-03-05,2021-03-14,9,0.9486779857276492
146,COTI-USD,2021-03-06,2021-03-12,6,0.3211902236978718
147,MANA-USD,2021-03-06,2021-03-15,9,1.935905456384124
148,MATIC-USD,2021-03-06,2021-03-15,9,0.8449991321077523
149,SAND-USD,2021-03-06,2021-03-15,9,0.9462092293704992
150,THETA-USD,2021-03-06,2021-03-15,9,0.6338291064028332
151,HNT-USD,2021-03-07,2021-03-16,9,0.6445049172008825
152,TFUEL-USD,2021-03-07,2021-03-16,9,1.4021836504400644
153,KSM-USD,2021-03-08,2021-03-17,9,0.4254103708192567
154,ZIL-USD,2021-03-08,2021-03-16,8,0.2367991891665333
156,ANKR-USD,2021-03-09,2021-03-18,9,0.6366874912910079
155,CHZ-USD,2021-03-09,2021-03-13,4,1.2228296611207483
157,BEAM-USD,2021-03-10,2021-03-19,9,0.6400787629771048
158,MANA-USD,2021-03-10,2021-03-19,9,1.014722768370142
159,MATIC-USD,2021-03-10,2021-03-19,9,0.432169101356229
160,SAND-USD,2021-03-10,2021-03-19,9,0.2655548141569301
161,ENJ-USD,2021-03-11,2021-03-20,9,0.234113704603982
162,IOTX-USD,2021-03-11,2021-03-20,9,0.1753230864304147
163,OM-USD,2021-03-11,2021-03-16,5,0.5273845489091891
164,VTHO-USD,2021-03-11,2021-03-20,9,2.0152058662967405
165,BAT-USD,2021-03-14,2021-03-23,9,0.3771394495757834
166,JST-USD,2021-03-14,2021-03-23,9,0.2902806663897219
169,CKB-USD,2021-03-16,2021-03-25,9,0.2848980469302407
167,SC-USD,2021-03-16,2021-03-24,8,0.0864601401688978
168,BTT-USD,2021-03-16,2021-03-25,9,1.020395561712608
170,VTHO-USD,2021-03-17,2021-03-26,9,0.8037152508583905
171,BEAM-USD,2021-03-18,2021-03-22,4,0.1318984518912473
172,ANKR-USD,2021-03-20,2021-03-29,9,1.3736695935879446
173,HIVE-USD,2021-03-20,2021-03-25,5,0.2697751204507304
174,TFUEL-USD,2021-03-20,2021-03-29,9,0.289313905174503
175,THETA-USD,2021-03-20,2021-03-29,9,0.5741133502732405
180,ANKR-USD,2021-03-24,2021-04-02,9,1.0194510851692122
179,CKB-USD,2021-03-24,2021-04-02,9,0.6832679735422953
178,HNT-USD,2021-03-24,2021-04-02,9,0.9121053820369156
177,RUNE-USD,2021-03-24,2021-04-02,9,0.8053709391334001
176,TRB-USD,2021-03-24,2021-04-02,9,0.4079836917386323
181,HIVE-USD,2021-03-25,2021-04-03,9,0.4691025287162569
182,MANA-USD,2021-03-25,2021-04-03,9,0.1610406342154426
183,ONT-USD,2021-03-25,2021-04-03,9,0.3739733846284303
184,SAND-USD,2021-03-25,2021-04-03,9,0.1777654675059927
185,SC-USD,2021-03-25,2021-04-03,9,0.4252494549643695
186,SOL-USD,2021-03-25,2021-04-03,9,0.7314494172996631
187,BEAM-USD,2021-03-27,2021-04-03,7,0.0798737548293815
189,ICX-USD,2021-03-28,2021-04-03,6,0.0600316222548489
190,BTT-USD,2021-03-28,2021-04-06,9,1.6647588387912853
188,CKB-USD,2021-03-28,2021-04-03,6,0.1210691919992728
191,JST-USD,2021-03-28,2021-04-06,9,0.6414979688549747
192,HNT-USD,2021-03-30,2021-04-08,9,0.6765061272996227
193,BTT-USD,2021-04-01,2021-04-07,6,0.4365760237727758
194,JST-USD,2021-04-01,2021-04-07,6,0.0059368259191887
195,QTUM-USD,2021-04-03,2021-04-12,9,0.4659504313486298
196,SXP-USD,2021-04-03,2021-04-12,9,0.3536089559643407
197,ENJ-USD,2021-04-05,2021-04-14,9,0.1790678160292642
198,BEAM-USD,2021-04-07,2021-04-16,9,0.4105829281702844
199,RUNE-USD,2021-04-07,2021-04-16,9,0.6082618824768629
200,WAVES-USD,2021-04-07,2021-04-16,9,0.3692904527255054
201,EGLD-USD,2021-04-08,2021-04-13,5,0.1769504666646995
202,IOST-USD,2021-04-11,2021-04-20,9,0.1757106334743186
203,RUNE-USD,2021-04-11,2021-04-19,8,0.2724616696102608
204,VTHO-USD,2021-04-12,2021-04-21,9,0.3141437079767257
205,ZEN-USD,2021-04-12,2021-04-19,7,0.26240799967346
210,DGB-USD,2021-04-13,2021-04-22,9,0.5423688639902862
209,CHZ-USD,2021-04-13,2021-04-17,4,0.2094208016525445
207,NEO-USD,2021-04-13,2021-04-21,8,0.460381693298036
206,SC-USD,2021-04-13,2021-04-19,6,0.5619170695124933
208,DASH-USD,2021-04-13,2021-04-18,5,0.0782653835319941
211,DOGE-USD,2021-04-14,2021-04-17,3,1.338545271364295
212,MANA-USD,2021-04-14,2021-04-22,8,0.1410781120251794
213,CELO-USD,2021-04-18,2021-04-23,5,0.1946330493550434
214,MATIC-USD,2021-04-23,2021-05-02,9,1.1594937177195446
215,TRB-USD,2021-04-23,2021-05-02,9,0.508929222506225
223,KSM-USD,2021-04-24,2021-05-03,9,0.3999295674723775
227,ONT-USD,2021-04-24,2021-05-03,9,0.4396920392415648
226,CKB-USD,2021-04-24,2021-05-03,9,0.2456536639327251
225,HNT-USD,2021-04-24,2021-05-03,9,0.4176960260270801
224,IOST-USD,2021-04-24,2021-05-03,9,0.4082586844150124
222,CHZ-USD,2021-04-24,2021-05-03,9,0.3513857115130379
216,SXP-USD,2021-04-24,2021-05-03,9,0.8183670780864094
220,THETA-USD,2021-04-24,2021-05-03,9,0.3256516248901595
219,WAVES-USD,2021-04-24,2021-05-03,9,1.4629949978802237
218,ZIL-USD,2021-04-24,2021-05-03,9,0.4788863902614693
217,ZRX-USD,2021-04-24,2021-05-03,9,0.438491600094647
221,SC-USD,2021-04-24,2021-05-03,9,0.300598920857837
228,ANKR-USD,2021-04-25,2021-05-04,9,0.2259331317375716
229,ENJ-USD,2021-04-25,2021-05-04,9,0.1474414373997628
230,MANA-USD,2021-04-25,2021-05-04,9,0.1651591667014345
231,XVS-USD,2021-04-26,2021-05-05,9,0.6158138917740161
232,IOTX-USD,2021-04-28,2021-05-01,3,0.3527495542050176
233,TWT-USD,2021-04-29,2021-05-08,9,0.5186779027194703
234,DOGE-USD,2021-04-30,2021-05-09,9,0.6887910901952807
235,WAVES-USD,2021-04-30,2021-05-09,9,0.360191796084262
236,ONT-USD,2021-05-03,2021-05-12,9,0.0687910374461269
237,ZEC-USD,2021-05-04,2021-05-13,9,0.2244581004600077
238,TRB-USD,2021-05-06,2021-05-12,6,-0.1013810976035533
239,CKB-USD,2021-05-07,2021-05-12,5,-0.0239022920225238
240,EOS-USD,2021-05-08,2021-05-12,4,-0.0071939445772684
241,MATIC-USD,2021-05-11,2021-05-19,8,0.5519631648829275
242,COTI-USD,2021-05-12,2021-05-19,7,-0.1976244170495523
243,DOGE-USD,2021-05-12,2021-05-19,7,-0.1355896761235515
244,SUSHI-USD,2021-05-15,2021-05-19,4,-0.1776185804825757
245,SAND-USD,2021-05-19,2021-05-23,4,0.1736701145789398
246,HIVE-USD,2021-05-20,2021-05-29,9,-0.0049381249594295
247,RUNE-USD,2021-05-22,2021-05-31,9,0.3474165041992516
258,RSR-USD,2021-05-23,2021-06-01,9,0.2609045391569518
257,CAKE-USD,2021-05-23,2021-06-01,9,0.3877787539931954
256,DCR-USD,2021-05-23,2021-06-01,9,0.52342436591632
255,EGLD-USD,2021-05-23,2021-06-01,9,0.1812217492683341
254,MANA-USD,2021-05-23,2021-06-01,9,0.3272814536345396
251,TWT-USD,2021-05-23,2021-06-01,9,0.1873740118069542
252,SOL-USD,2021-05-23,2021-06-01,9,0.255035725393993
250,VTHO-USD,2021-05-23,2021-06-01,9,0.1470847673112987
249,YFI-USD,2021-05-23,2021-06-01,9,0.3736561712368722
248,ZEN-USD,2021-05-23,2021-06-01,9,0.449883515953779
253,KSM-USD,2021-05-23,2021-06-01,9,0.4001270986745042
259,KSM-USD,2021-05-30,2021-06-07,8,0.2167930388888037
260,AXS-USD,2021-07-01,2021-07-10,9,2.0660938694222075
261,SAND-USD,2021-07-04,2021-07-13,9,0.5759845511376886
262,AXS-USD,2021-07-05,2021-07-14,9,1.8892555839503984
264,AXS-USD,2021-07-12,2021-07-17,5,0.0524069568159759
263,SAND-USD,2021-07-12,2021-07-17,5,0.0700176626183664
265,AXS-USD,2021-07-19,2021-07-28,9,1.709258306234978
266,AUDIO-USD,2021-07-22,2021-07-31,9,0.232713186449071
267,DEXE-USD,2021-07-23,2021-07-26,3,0.8603740182204462
268,RUNE-USD,2021-08-01,2021-08-08,7,0.1157148797753335
269,DEXE-USD,2021-08-05,2021-08-10,5,0.1641949185395668
270,AXS-USD,2021-08-07,2021-08-16,9,0.6121045303104544
271,SXP-USD,2021-08-08,2021-08-17,9,0.2206730417996909
272,VTHO-USD,2021-08-08,2021-08-17,9,0.7718501545872507
275,SOL-USD,2021-08-12,2021-08-21,9,0.7945828786486966
274,TWT-USD,2021-08-12,2021-08-21,9,0.7192661464680876
273,VTHO-USD,2021-08-12,2021-08-17,5,0.2912832500510114
276,AUDIO-USD,2021-08-13,2021-08-22,9,0.659428531215966
277,AR-USD,2021-08-14,2021-08-21,7,0.8076764187553012
278,LRC-USD,2021-08-19,2021-08-24,5,0.3941043490227414
279,AR-USD,2021-08-24,2021-09-02,9,1.0472032958467392
280,SOL-USD,2021-08-25,2021-09-03,9,1.037246114766496
281,MASK-USD,2021-08-26,2021-09-04,9,0.5026350122223486
282,SAND-USD,2021-08-26,2021-09-04,9,0.4627979844369894
283,AR-USD,2021-08-28,2021-09-04,7,0.124260085738348
284,KSM-USD,2021-08-29,2021-09-07,9,0.1073453813649387
286,SOL-USD,2021-08-31,2021-09-09,9,0.7347829710352596
285,TWT-USD,2021-08-31,2021-09-07,7,0.3203203690043155
287,HIVE-USD,2021-09-01,2021-09-05,4,0.325865314105924
288,SOL-USD,2021-09-05,2021-09-14,9,0.11278835866944
289,AR-USD,2021-09-07,2021-09-16,9,0.1236172997541451
290,EGLD-USD,2021-09-07,2021-09-16,9,0.6894184302938022
291,SUSHI-USD,2021-09-13,2021-09-17,4,0.12940590601262
292,ELF-USD,2021-09-14,2021-09-21,7,0.0409888336565109
293,GALA-USD,2021-09-14,2021-09-20,6,1.0245667392222375
294,EGLD-USD,2021-09-20,2021-09-28,8,0.0852749426905794
295,AXS-USD,2021-09-28,2021-10-07,9,0.8058124596810334
296,GALA-USD,2021-09-28,2021-10-07,9,0.2602729244564215
297,AR-USD,2021-09-29,2021-10-08,9,0.5376104318432469
298,LPT-USD,2021-10-15,2021-10-21,6,0.1788067830959545
299,1INCH-USD,2021-10-24,2021-10-30,6,0.2384987919976438
301,MANA-USD,2021-10-26,2021-10-31,5,2.546422554114766
300,SAND-USD,2021-10-26,2021-11-04,9,2.2400398609986465
302,GALA-USD,2021-10-27,2021-11-05,9,0.2219478257444438
303,SAND-USD,2021-10-30,2021-11-05,6,0.4103683173530166
304,HNT-USD,2021-11-03,2021-11-12,9,0.7769770737019293
305,LPT-USD,2021-11-05,2021-11-12,7,0.8078295356928364
306,SAND-USD,2021-11-14,2021-11-23,9,0.8917264306076134
307,ROSE-USD,2021-11-15,2021-11-24,9,0.915444154014547
308,GALA-USD,2021-11-16,2021-11-25,9,4.852284332267971
309,MANA-USD,2021-11-16,2021-11-21,5,0.1253305142355736
310,EGLD-USD,2021-11-18,2021-11-26,8,0.2873090811628267
311,ROSE-USD,2021-11-19,2021-11-26,7,0.1897496556850069
312,SAND-USD,2021-11-21,2021-11-26,5,0.7174530650464708
313,GALA-USD,2021-11-22,2021-12-01,9,0.6504907660399959
314,ILV-USD,2021-11-22,2021-12-01,9,0.6591257233232746
315,MANA-USD,2021-11-22,2021-12-01,9,0.1122100208774594
316,RSR-USD,2021-11-26,2021-12-03,7,0.3336231439012211
317,MASK-USD,2021-11-27,2021-12-04,7,0.2974398753711351
318,TWT-USD,2022-03-19,2022-03-28,9,0.3947755598970162
319,JASMY-USD,2022-03-20,2022-03-28,8,0.0603378766167894
320,SKL-USD,2022-03-27,2022-04-05,9,0.4748052422303368
321,CVX-USD,2022-03-31,2022-04-06,6,0.1731379396806824
322,CELO-USD,2022-04-01,2022-04-05,4,0.2508778998674543
323,LDO-USD,2022-07-14,2022-07-23,9,0.7485657240308461
324,LDO-USD,2022-07-25,2022-08-03,9,0.7804970922380265
325,LDO-USD,2023-01-05,2023-01-14,9,0.6055641978306039
326,T-USD,2023-01-20,2023-01-29,9,1.0233331648531503
327,ILV-USD,2023-01-31,2023-02-09,9,0.0930482478080865
328,ACH-USD,2023-02-02,2023-02-09,7,0.0433618230624985
329,ASTR-USD,2023-02-14,2023-02-23,9,0.1340351333632155
330,ACH-USD,2023-02-18,2023-02-27,9,0.7121490637491263
331,AMP-USD,2023-02-20,2023-02-25,5,0.1682027915535484
332,AGIX-USD,2023-02-26,2023-03-03,5,0.1031336376959475
333,ACH-USD,2023-03-10,2023-03-19,9,0.5803377234313183
334,AGIX-USD,2023-03-11,2023-03-20,9,0.4447991266425111
335,LQTY-USD,2023-03-11,2023-03-19,8,0.1168899676117234
336,POLYX-USD,2023-10-17,2023-10-21,4,0.2777580508622534
337,POLYX-USD,2023-10-21,2023-10-25,4,0.3145414370904664
338,LQTY-USD,2023-10-22,2023-10-27,5,0.2645948760385175
339,GAS-USD,2023-10-25,2023-11-03,9,1.8332441835524904
340,POLYX-USD,2023-10-27,2023-10-31,4,0.0516853437045443
341,SNT-USD,2023-10-28,2023-11-06,9,0.6324871386428492
342,GAS-USD,2023-10-29,2023-11-07,9,1.403661546549885
343,GAS-USD,2023-11-02,2023-11-11,9,0.7093660787622691
344,GAS-USD,2023-11-06,2023-11-11,5,-0.0469872769223902
345,LUNC-USD,2023-11-07,2023-11-11,4,0.2575757325208072
346,LUNC-USD,2023-11-23,2023-12-02,9,1.0135134191755355
347,ORDI-USD,2023-11-29,2023-12-07,8,1.594132399102372
348,LUNC-USD,2023-11-30,2023-12-05,5,0.9230768369723892
349,ORDI-USD,2023-12-03,2023-12-07,4,0.3398996816217099
350,OSMO-USD,2023-12-09,2023-12-18,9,0.9121550035460092
351,ORDI-USD,2023-12-11,2023-12-17,6,0.0553394665191098
352,OSMO-USD,2023-12-13,2023-12-19,6,0.2567861660282609
353,ORDI-USD,2023-12-22,2023-12-31,9,0.5010504250093404
354,AGIX-USD,2024-02-14,2024-02-23,9,1.3981035134598745
355,ARKM-USD,2024-02-14,2024-02-23,9,1.009244437011731
356,GLM-USD,2024-02-17,2024-02-26,9,0.7829560314088699
357,AGIX-USD,2024-02-18,2024-02-27,9,0.45436374415934
358,ARKM-USD,2024-02-25,2024-03-05,9,0.4074832553923682
359,AGIX-USD,2024-02-27,2024-03-07,9,0.7821099815150487
360,GLM-USD,2024-02-29,2024-03-05,5,0.5128875162940452
361,AGIX-USD,2024-03-04,2024-03-13,9,0.3741621101157797
362,ARKM-USD,2024-03-06,2024-03-10,4,0.0996904900527944
363,PENDLE-USD,2024-03-22,2024-03-31,9,0.7841203837971926
364,LQTY-USD,2024-03-28,2024-04-03,6,0.0525763638825322
365,PENDLE-USD,2024-03-28,2024-04-06,9,0.5635478782797922
366,PENDLE-USD,2024-04-03,2024-04-12,9,0.2405155183513379
367,ETHW-USD,2024-04-05,2024-04-11,6,0.1492106409475468
368,JTO-USD,2024-07-23,2024-08-01,9,0.1812809436714599
369,ETHW-USD,2024-09-25,2024-10-02,7,0.5647530631544209
370,TURBO-USD,2024-10-09,2024-10-16,7,0.5886855207779269
371,GOAT-USD,2024-10-27,2024-11-05,9,-0.1361662348081572
372,ARKM-USD,2024-11-03,2024-11-12,9,0.331823336765078
373,GOAT-USD,2024-11-09,2024-11-17,8,-0.0605074212930168
374,ACT-USD,2024-11-15,2024-11-24,9,0.2501319885592328
375,GOAT-USD,2024-11-19,2024-11-27,8,-0.0073441048757698
376,JTO-USD,2024-11-20,2024-11-29,9,0.3648018110652511
377,MANTA-USD,2024-11-20,2024-11-26,6,0.3477490690211786
378,METIS-USD,2024-11-20,2024-11-29,9,0.3463152755327316
379,ACT-USD,2024-11-25,2024-12-04,9,0.1363818863541905
380,GOAT-USD,2024-11-29,2024-12-08,9,0.7651836515235944
381,ACT-USD,2024-12-05,2024-12-12,7,-0.0021168661942148
382,TURBO-USD,2024-12-05,2024-12-14,9,0.3214452215717367
383,GOAT-USD,2024-12-10,2024-12-19,9,1.7679170015179189
384,GOAT-USD,2024-12-14,2024-12-23,9,0.1798089102382543
