date,equity,drawdown,equity_norm_100,log10_equity
2020-07-20,1.2400612195093097,0.0,100.0,0.09344312599996463
2020-08-02,3.85086741100908,0.0,310.5384920054884,0.5855585657122094
2020-08-03,8.896718437371677,0.0,717.4418728207704,0.9492298462689797
2020-08-06,13.816245446130925,0.0,1114.1583357955496,1.140390039886083
2020-08-07,23.13524328221042,0.0,1865.6533176132225,1.3642740707503749
2020-08-07,36.50870659463414,0.0,2944.105179668515,1.5623964473358345
2020-08-07,74.04505162062395,0.0,5971.080335043738,1.8694960402283864
2020-08-07,102.1641969891612,0.0,8238.641397848682,2.009298725796013
2020-08-09,146.11030433273908,0.0,11782.507349964117,2.1646808453459485
2020-08-10,284.52887852085183,0.0,22944.744504907547,2.454126352087013
2020-08-11,325.8645065083828,0.0,26278.098321414076,2.513037059246946
2020-08-11,466.1577700920368,0.0,37591.51264132708,2.668532927600028
2020-08-13,526.5385400812607,0.0,42460.68918191081,2.721430164946097
2020-08-19,718.8100790341017,0.0,57965.69296139538,2.856614158083854
2020-08-19,886.582679324596,0.0,71495.07341866681,2.9477192424751255
2020-08-21,937.0960535944894,0.0,75568.53152502397,2.9717841089326353
2020-09-07,1284.331649241398,0.0,103570.0196922218,3.108677184820994
2020-09-08,1355.4620114968943,0.0,109306.05603755987,3.132087350445856
2020-09-09,1216.373910895148,-0.1026130569665656,98089.82748258712,3.0850670967106817
2020-09-24,1392.857248305974,0.0,112321.65205981731,3.143906608563347
2020-10-20,1742.1995774882014,0.0,140493.02970522593,3.241097904079855
2020-11-07,2348.830511189371,0.0,189412.4640168007,3.370851679735941
2020-11-07,2734.0134541087014,0.0,220474.0710455042,3.4368006474047337
2020-11-11,4034.505707027487,0.0,325347.3008876073,3.6057903341361355
2020-11-17,5523.656473314037,0.0,445434.1758626835,3.7422266611478565
2020-11-22,8452.678595781239,0.0,681633.9760327277,3.9269943556984237
2020-12-06,9744.866538363636,0.0,785837.5364903085,3.9887758955778962
2020-12-11,12762.647600704637,0.0,1029194.9623063607,4.105940777763008
2020-12-15,16319.097223326104,0.0,1315991.2564464798,4.212696129799435
2020-12-22,25732.389268240677,0.0,2075090.2345307549,4.410480112593486
2020-12-23,32573.42591426892,0.0,2626759.5020154067,4.512863437945193
