date,equity,drawdown
2020-07-20,1.2400612195093097,0.0
2020-08-02,3.8508674110090797,0.0
2020-08-03,8.896718437371677,0.0
2020-08-06,13.816245446130925,0.0
2020-08-07,23.13524328221042,0.0
2020-08-07,36.50870659463414,0.0
2020-08-07,74.04505162062395,0.0
2020-08-07,102.16419698916121,0.0
2020-08-09,146.11030433273908,0.0
2020-08-10,284.52887852085183,0.0
2020-08-11,325.86450650838276,0.0
2020-08-11,466.15777009203674,0.0
2020-08-13,526.5385400812607,0.0
2020-08-19,718.8100790341017,0.0
2020-08-19,886.582679324596,0.0
2020-08-21,937.0960535944894,0.0
2020-09-07,1284.331649241398,0.0
2020-09-08,1355.4620114968943,0.0
2020-09-09,1216.373910895148,-0.10261305696656564
2020-09-24,1392.857248305974,0.0
2020-10-20,1742.1995774882014,0.0
2020-11-07,2348.830511189371,0.0
2020-11-07,2734.0134541087014,0.0
2020-11-11,4034.5057070274866,0.0
2020-11-17,5523.656473314037,0.0
2020-11-22,8452.678595781239,0.0
2020-12-06,9744.866538363636,0.0
2020-12-11,12762.647600704635,0.0
2020-12-15,16319.097223326104,0.0
2020-12-22,25732.389268240673,0.0
2020-12-23,32573.42591426892,0.0
2020-12-23,44467.70138427862,0.0
2020-12-23,61235.82395984286,0.0
2020-12-25,73550.90237252982,0.0
2020-12-29,99424.8678529961,0.0
2020-12-30,211159.89384282092,0.0
2020-12-30,462631.9377351475,0.0
2020-12-30,464268.93270026473,0.0
2020-12-31,806128.5329405429,0.0
2020-12-31,1466029.9278795053,0.0
2021-01-04,1750992.9630259518,0.0
2021-01-05,2065770.6600609545,0.0
2021-01-05,3139199.59981369,0.0
2021-01-07,5249852.839457212,0.0
2021-01-07,6596696.881963964,0.0
2021-01-07,10488698.66629405,0.0
2021-01-11,20850438.41908163,0.0
2021-01-11,34280947.22376433,0.0
2021-01-11,52751053.92289813,0.0
2021-01-12,52164348.78736737,-0.01112215002165251
2021-01-12,66383190.93018787,0.0
2021-01-12,72779795.31158966,0.0
2021-01-12,109022553.78376204,0.0
2021-01-15,135851943.16529042,0.0
2021-01-15,239286558.89354268,0.0
2021-01-16,400622149.47269696,0.0
2021-01-17,445256795.07198673,0.0
2021-01-18,586169185.705696,0.0
2021-01-20,701274612.1314116,0.0
2021-01-21,903300728.7379451,0.0
2021-01-21,1026535553.7333791,0.0
2021-01-21,1239045870.2077692,0.0
2021-01-21,2920382564.071614,0.0
2021-01-21,4232892796.7216387,0.0
2021-01-25,6628004647.075642,0.0
2021-01-30,9141654179.827137,0.0
2021-01-30,23429950289.74983,0.0
2021-01-31,42950489713.314674,0.0
2021-02-01,79788280749.23332,0.0
2021-02-01,176062572809.1691,0.0
2021-02-01,275357756779.85864,0.0
2021-02-02,476029838848.8176,0.0
2021-02-02,556764119309.8756,0.0
2021-02-02,1675198264634.2283,0.0
2021-02-03,2887453155574.6562,0.0
2021-02-05,6962782434282.591,0.0
2021-02-05,10725121150297.557,0.0
2021-02-06,16166406636257.818,0.0
2021-02-06,31132810902587.28,0.0
2021-02-06,55541972190450.34,0.0
2021-02-06,132931115260122.83,0.0
2021-02-06,176923004149724.53,0.0
2021-02-07,271541105057633.78,0.0
2021-02-07,305602527827537.0,0.0
2021-02-07,495446518803316.56,0.0
2021-02-07,745918695236996.1,0.0
2021-02-07,1113835121760269.2,0.0
2021-02-07,1379375686737816.5,0.0
2021-02-07,1690182824686772.5,0.0
2021-02-08,2323913165637824.5,0.0
2021-02-08,3231350321429010.0,0.0
2021-02-08,5930736903659022.0,0.0
2021-02-08,8279220337248186.0,0.0
2021-02-08,1.666625707505747e+16,0.0
2021-02-08,3.605738394488459e+16,0.0
2021-02-08,5.851472093660152e+16,0.0
2021-02-08,9.074351978549088e+16,0.0
2021-02-09,1.3531418470469029e+17,0.0
2021-02-09,1.574980403823165e+17,0.0
2021-02-09,1.9035318480211888e+17,0.0
2021-02-10,2.3747661340620365e+17,0.0
2021-02-10,3.7603571117029274e+17,0.0
2021-02-10,4.1992908255424186e+17,0.0
2021-02-10,4.7771986819111546e+17,0.0
2021-02-10,9.897797749170701e+17,0.0
2021-02-10,1.4056202129650337e+18,0.0
2021-02-10,1.851423917767614e+18,0.0
2021-02-11,8.739017047398975e+18,0.0
2021-02-12,1.192710511279802e+19,0.0
2021-02-12,1.6350683387825439e+19,0.0
2021-02-14,1.5364451784802058e+19,-0.060317454606069854
2021-02-14,1.8996110601337524e+19,0.0
2021-02-14,2.8532265828138406e+19,0.0
2021-02-14,2.8450311204054356e+19,-0.0028723489602155983
2021-02-15,2.7313702317745115e+19,-0.042708262909549544
2021-02-15,2.793371945655827e+19,-0.020977877298123726
2021-02-15,4.800449224152981e+19,0.0
2021-02-15,5.940425042323581e+19,0.0
2021-02-15,1.4187272618453348e+20,0.0
2021-02-16,1.7229010010347068e+20,0.0
2021-02-16,2.7321501328665913e+20,0.0
2021-02-16,2.519712354933853e+20,-0.07775479662599916
2021-02-16,4.076404105334149e+20,0.0
2021-02-16,6.787245274415588e+20,0.0
2021-02-16,9.28065061187617e+20,0.0
2021-02-18,1.0068144323264487e+21,0.0
2021-02-19,9.904572914322894e+20,-0.01624643069166465
2021-02-19,1.21813232564904e+21,0.0
2021-02-20,1.682525202316807e+21,0.0
2021-02-22,1.7078609271336243e+21,0.0
2021-02-23,2.4980605984189574e+21,0.0
2021-02-24,3.251179967069924e+21,0.0
2021-02-26,5.785206981588091e+21,0.0
2021-02-27,1.7726225842974897e+22,0.0
2021-02-28,2.5449467327503346e+22,0.0
2021-02-28,1.3311836690239729e+23,0.0
2021-02-28,2.0094749648606342e+23,0.0
2021-02-28,3.3241047737662475e+23,0.0
2021-02-28,7.718335054123289e+23,0.0
2021-02-28,1.0890968701288194e+24,0.0
2021-02-28,1.2435437048775053e+24,0.0
2021-02-28,1.8736856267327568e+24,0.0
2021-03-01,3.7472426126040044e+24,0.0
2021-03-02,7.165806547732971e+24,0.0
2021-03-05,3.805156666413025e+25,0.0
2021-03-05,7.41502502808387e+25,0.0
2021-03-06,9.796658575579448e+25,0.0
2021-03-06,2.8762063366376023e+26,0.0
2021-03-06,5.306598194859194e+26,0.0
2021-03-06,1.0327750383395794e+27,0.0
2021-03-06,1.6873779180055068e+27,0.0
2021-03-07,2.7749012833362434e+27,0.0
