trade_id,exit_bar_index,exit_date,exit_ret
0,6,2020-07-26,0.5175841434493724
1,6,2020-08-08,1.6708064767095898
2,6,2020-08-09,1.2343059944447765
3,5,2020-08-11,0.55295972817283
4,4,2020-08-11,0.6744956777450108
5,6,2020-08-13,0.4358277930054048
6,6,2020-08-13,1.3586071430467683
7,6,2020-08-13,0.3590105520031079
8,6,2020-08-15,0.5976161315495525
9,6,2020-08-16,1.0503204274995213
10,6,2020-08-17,0.3373177288757223
11,6,2020-08-17,0.4114781724645531
12,6,2020-08-19,0.1295286142657294
13,6,2020-08-25,0.2723944544287886
14,6,2020-08-25,0.2649148150483675
15,6,2020-08-27,0.0569753678341367
16,6,2020-09-13,0.4270349905707635
17,6,2020-09-14,0.2135216765466041
18,6,2020-09-15,-0.0535999095080148
19,6,2020-09-30,0.4144976195532803
20,6,2020-10-26,0.6428048643280515
21,5,2020-11-12,0.1639892453220417
22,6,2020-11-13,0.3738811753031101
23,6,2020-11-17,0.5954799398994253
24,6,2020-11-23,0.6035272870277859
25,6,2020-11-28,0.6033118024720769
26,5,2020-12-11,0.1528731901893598
27,6,2020-12-17,0.2739191899090647
28,6,2020-12-21,0.214269536115546
29,5,2020-12-27,0.5768267641337077
30,4,2020-12-27,0.265853146193135
31,6,2020-12-29,0.339926453579688
32,6,2020-12-29,0.4664936995028137
33,5,2020-12-30,0.2011090504924522
34,6,2021-01-04,0.3517831140863043
35,6,2021-01-05,1.1397757312519543
36,6,2021-01-05,1.1314298677398975
37,6,2021-01-05,0.068822763591702
38,6,2021-01-06,0.6360891982749086
39,6,2021-01-06,0.6782822358533223
40,6,2021-01-10,0.4036592940051282
41,5,2021-01-10,0.179770966349873
42,6,2021-01-11,0.4407868502559233
43,6,2021-01-13,0.7106972431148526
44,6,2021-01-13,0.844831234346636
45,4,2021-01-11,0.2565489135969767
46,5,2021-01-16,0.9878956467769964
47,6,2021-01-17,0.5898019684544464
48,6,2021-01-17,0.4865318996556693
49,6,2021-01-18,0.2658940699603676
50,6,2021-01-18,0.4862623805970607
51,6,2021-01-18,0.3818703870261091
52,6,2021-01-18,0.7112072372006948
53,6,2021-01-21,0.1151952041596395
54,4,2021-01-19,0.7613775211327221
55,5,2021-01-21,0.6742359091340839
56,4,2021-01-21,0.1114133246452757
57,6,2021-01-24,0.2370073435991095
58,5,2021-01-25,0.1963689481342128
59,6,2021-01-27,0.2469223327157519
60,6,2021-01-27,0.1364272396498702
61,4,2021-01-25,0.2070170055986049
62,6,2021-01-27,0.5403400087435335
63,6,2021-01-27,0.2498726793158454
64,6,2021-01-31,0.5204136707856801
65,6,2021-02-05,0.4152190422753914
66,6,2021-02-05,1.839058821485127
67,6,2021-02-06,0.433067697184631
68,6,2021-02-07,1.063316920343778
69,6,2021-02-07,0.4635447814428211
70,6,2021-02-07,0.557411894753248
71,6,2021-02-08,0.562395922442849
72,5,2021-02-07,0.1695992012943927
73,6,2021-02-08,0.7347320952030543
74,6,2021-02-09,0.3854255884805022
75,6,2021-02-11,1.5189873635346074
76,6,2021-02-11,0.3739225670177653
77,6,2021-02-12,1.31334192847992
78,6,2021-02-12,0.979124760959688
79,6,2021-02-12,0.7225528480967625
80,6,2021-02-12,0.6037807246329401
81,6,2021-02-12,0.6232704931528914
82,6,2021-02-13,0.8975333651365898
83,6,2021-02-13,0.8202956513550612
84,6,2021-02-13,0.3032615045564337
85,6,2021-02-13,0.2724095071815966
86,6,2021-02-13,0.8013406088674786
87,6,2021-02-13,0.86507634495348
88,6,2021-02-13,0.5812634090831654
89,6,2021-02-14,0.7963106882644388
90,6,2021-02-14,0.5648050437024592
91,6,2021-02-14,0.5571798686743228
92,6,2021-02-14,0.622822138900704
93,6,2021-02-14,0.8353741667465673
94,6,2021-02-14,0.342416588984676
95,6,2021-02-14,0.3967528896575225
96,6,2021-02-14,0.4520535303467177
97,6,2021-02-15,0.3010578152770418
98,5,2021-02-14,0.1639433125657909
99,6,2021-02-15,0.2086066870422551
100,6,2021-02-16,0.2671058696389135
101,6,2021-02-16,1.3508049001304632
102,6,2021-02-16,0.1616721150678477
103,6,2021-02-16,0.1167266035647114
104,5,2021-02-15,0.1376203460007055
105,6,2021-02-16,0.4119335151973131
106,6,2021-02-16,0.1506951848942199
107,6,2021-02-17,0.5339241370182457
108,2,2021-02-14,0.3648108303379413
109,6,2021-02-18,0.3791492692963076
110,6,2021-02-20,0.3345101434735222
111,6,2021-02-20,0.4019863140487409
112,6,2021-02-20,0.4111319953756938
113,6,2021-02-20,0.3161950631203094
114,6,2021-02-21,0.3334821358867013
115,6,2021-02-21,1.7928351958458897
116,6,2021-02-21,0.3966829638787852
117,6,2021-02-21,0.8296578815830182
118,6,2021-02-21,0.4648147387380932
119,6,2021-02-22,0.3857162559710272
120,6,2021-02-22,0.6583519816023904
121,6,2021-02-22,0.0926449283355763
122,6,2021-02-22,0.3958218321982882
123,6,2021-02-22,0.741988110715343
124,6,2021-02-22,0.5884511889512847
125,5,2021-02-23,0.0848532871586162
126,6,2021-02-25,-0.0162464306916647
127,4,2021-02-23,0.2298686033069756
128,5,2021-02-25,0.3812335219167024
129,6,2021-02-28,0.0150581547200185
130,6,2021-03-01,0.8362250319493156
131,6,2021-03-02,0.3902657304097265
132,6,2021-03-04,0.7308711076500443
133,6,2021-03-05,1.1276310192725312
134,6,2021-03-06,0.3110618155806841
135,6,2021-03-06,0.5269952252776613
136,6,2021-03-06,0.141811843358266
137,6,2021-03-06,0.1991287581738168
138,6,2021-03-06,1.229632639077996
