date,open,high,low,close,volume
,SFRXETH-USD,SFRXETH-USD,SFRXETH-USD,SFRXETH-USD,SFRXETH-USD
2023-01-10,1343.2178955078125,1365.65234375,1338.479248046875,1356.8236083984375,202
2023-01-11,1356.8236083984375,1362.893798828125,1350.429931640625,1359.6519775390625,0
2023-01-12,1359.6519775390625,1456.07080078125,1359.6519775390625,1437.831787109375,9494
2023-01-13,1437.8896484375,1484.1641845703125,1424.052978515625,1474.84619140625,0
2023-01-14,1474.8992919921875,1587.5350341796875,1474.0733642578125,1572.5897216796875,1566
2023-01-15,1572.802734375,1582.1666259765625,1540.781982421875,1572.45263671875,6233
2023-01-16,1573.4033203125,1622.267578125,1548.7821044921875,1600.9619140625,0
2023-01-17,1600.9619140625,1600.9619140625,1600.544921875,1600.544921875,0
2023-01-18,1600.544921875,1627.5216064453125,1524.32958984375,1532.420166015625,64381
2023-01-19,1533.7874755859375,1586.2835693359375,1532.2860107421875,1578.2919921875,10621
2023-01-20,1578.5843505859375,1689.8470458984375,1570.309814453125,1689.8470458984375,7114
2023-01-21,1690.4775390625,1702.2796630859375,1647.966796875,1652.1339111328125,17130
2023-01-22,1653.2652587890625,1689.3802490234375,1636.67529296875,1656.248779296875,1648
2023-01-23,1655.2542724609375,1673.1141357421875,1625.858154296875,1660.6595458984375,4374
2023-01-24,1659.8408203125,1677.5755615234375,1577.7835693359375,1584.8575439453125,41267
2023-01-25,1584.9224853515625,1663.7384033203125,1554.1624755859375,1640.3206787109375,138574
2023-01-26,1641.179931640625,1656.6036376953125,1612.447509765625,1630.6446533203125,30839
2023-01-27,1629.9183349609375,1647.37939453125,1589.0963134765625,1625.6826171875,49504
2023-01-28,1625.464599609375,1634.18408203125,1590.7860107421875,1601.9931640625,2859
2023-01-29,1601.9931640625,1688.2193603515625,1596.41650390625,1677.253662109375,815
2023-01-30,1677.4366455078125,1678.1795654296875,1571.9053955078125,1597.124755859375,4284
2023-01-31,1596.61083984375,1629.0130615234375,1589.2086181640625,1612.074951171875,1193
2023-02-01,1611.2984619140625,1674.855712890625,1588.863525390625,1669.6475830078125,92834
2023-02-02,1669.6014404296875,1753.8046875,1669.6014404296875,1680.212890625,555311
2023-02-03,1680.845703125,1706.0958251953125,1663.4493408203125,1701.4017333984375,13113
2023-02-04,1701.5072021484375,1731.9517822265625,1683.1142578125,1703.0394287109375,49812
2023-02-05,1704.2034912109375,1710.2099609375,1649.3958740234375,1668.6739501953125,3540
2023-02-06,1668.8499755859375,1694.658447265625,1644.94580078125,1653.094970703125,5328
2023-02-07,1652.1195068359375,1715.1422119140625,1650.31494140625,1711.0723876953125,12003
2023-02-08,1710.1514892578125,1736.3814697265625,1671.9783935546875,1689.054443359375,27781
2023-02-09,1690.6158447265625,1695.21240234375,1564.6451416015625,1578.965087890625,139856
2023-02-10,1578.8905029296875,1588.5721435546875,1536.2415771484375,1550.53515625,3088
2023-02-11,1550.2598876953125,1577.4461669921875,1544.0299072265625,1574.4512939453125,60200
2023-02-12,1573.9913330078125,1578.6973876953125,1530.4915771484375,1548.029541015625,704
2023-02-13,1548.8941650390625,1561.153564453125,1500.43994140625,1542.63525390625,75
2023-02-14,1543.1600341796875,1552.2060546875,1531.1719970703125,1544.07177734375,0
2023-02-15,1544.07177734375,1715.3310546875,1544.07177734375,1713.6986083984375,57587
2023-02-16,1714.31494140625,1777.8638916015625,1675.1094970703125,1676.6231689453125,247662
2023-02-17,1679.8353271484375,1762.2113037109375,1672.25927734375,1736.9627685546875,167476
2023-02-18,1736.9627685546875,1753.5692138671875,1723.4654541015625,1735.3438720703125,20892
2023-02-19,1736.1729736328125,1762.9449462890625,1712.553955078125,1721.4761962890625,54685
2023-02-20,1721.4761962890625,1758.811767578125,1694.4405517578125,1742.0908203125,56827
2023-02-21,1742.1263427734375,1755.3919677734375,1675.976318359375,1694.92431640625,81327
2023-02-22,1694.23876953125,1702.7939453125,1635.89794921875,1680.3846435546875,0
2023-02-23,1680.8397216796875,1711.9779052734375,1670.7930908203125,1689.88427734375,13154
2023-02-24,1689.88427734375,1695.6014404296875,1620.415283203125,1649.731689453125,111141
2023-02-25,1649.7764892578125,1650.218017578125,1603.0443115234375,1638.747802734375,159978
2023-02-26,1638.6724853515625,1692.4307861328125,1631.9833984375,1686.826171875,89624
2023-02-27,1686.3466796875,1708.1512451171875,1654.6622314453125,1676.0064697265625,279997
2023-02-28,1676.683349609375,1688.7288818359375,1641.09228515625,1646.6424560546875,331717
2023-03-01,1646.8736572265625,1707.044677734375,1640.0928955078125,1706.390869140625,3222
2023-03-02,1706.1668701171875,1718.187255859375,1660.318115234375,1689.0523681640625,50913
